name,r,theta,phi,pr,ptheta,pphi,gamma,gamma_star,eta,eta_star,mu_m,simSpeed,collisionType,updateP,updateM,showPath,zoom,notes
Demo 1,1.5,0,0,0,0,0,0,0,0,0,0,1,elastic,TRUE,TRUE,FALSE,0.8,
Demo 2,1.5,90,180,0,0,0,0,0,0,0,0,1,elastic,TRUE,TRUE,FALSE,0.8,
Demo 3,1.1,45,45,0,0,0,0,0,0,0,0,2,elastic,TRUE,TRUE,FALSE,0.8,
Demo 4,1.1288129,-21.59883,0,0,0,0,0,0,0,0,0,20,elastic,TRUE,TRUE,TRUE,0.8,
Demo 5,1.1,80,80,0,0,0,0,0,0,0,0,100,elastic,TRUE,TRUE,TRUE,0.8,
Demo 6,1.5,45,0,0,0,0,0.001,0.001,0,0,0.1,1,inelastic,TRUE,TRUE,FALSE,0.8,
Demo 7,1.5,0,90,0,0,0,0,0,0,0,0,100,elastic,TRUE,TRUE,TRUE,5,
Demo 8,1.05,135,30,0,0,0,0,0,0,0,0,1,elastic,TRUE,TRUE,TRUE,0.8,
Demo 9,1,0,180,0,0,0,0,0,0,0,0,1,elastic,TRUE,TRUE,FALSE,0.8,
Demo 10,1,90,0,0,0,0,0,0,0,0,0,1,elastic,TRUE,TRUE,FALSE,0.8,
Demo 11,1,0,0,0,0.26376138,0.041348036,0,0,0,0,0,1,elastic,TRUE,TRUE,FALSE,0.8,
Demo 12,1,0,0,0,0.132362361,-0.083154598,0,0,0,0,0,1,elastic,TRUE,TRUE,FALSE,0.8,
Demo 13,1,0,0,0,0.28523448,0.12700707,0,0,0,0,0,1,elastic,TRUE,TRUE,FALSE,0.8,
Demo 14,1,0,0,0,0.436303799,0.107845103,0,0,0,0,0,1,elastic,TRUE,TRUE,FALSE,0.8,
Demo 15,1,0,0,0,0.523788928,0.07636218,0,0,0,0,0,1,elastic,TRUE,TRUE,FALSE,0.8,
Demo 16,1,0,0,0,0.525127315,0.076751527,0,0,0,0,0,1,elastic,TRUE,TRUE,FALSE,0.8,
Demo 17,1,0,0,0,0.353638854,-0.228387002,0,0,0,0,0,1,elastic,TRUE,TRUE,FALSE,0.8,
Demo 18,1,0,0,0,0.435413908,0.21379462,0,0,0,0,0,1,elastic,TRUE,TRUE,FALSE,0.8,
Demo 19,1,0,0,0,0.678375911,0.180685581,0,0,0,0,0,1,elastic,TRUE,TRUE,FALSE,0.8,
Demo 20,1,0,0,0,0.998595235,0.071745539,0,0,0,0,0,1,elastic,TRUE,TRUE,FALSE,0.8,
Demo 21,1,90,180,0,0.255560104,0.196982833,0,0,0,0,0,1,elastic,TRUE,TRUE,FALSE,0.8,
Demo 22,1,90,180,0,0.359226837,-0.135753237,0,0,0,0,0,1,elastic,TRUE,TRUE,FALSE,0.8,
Demo 23,1,90,180,0,0.0204677,0.176893868,0,0,0,0,0,1,elastic,TRUE,TRUE,FALSE,0.8,
Demo 24,1,0,0,0.570707,-0.219008,0.164494,0,0,0,0,0,3,elastic,true,true,true,0.8,
Demo 25,1,0,0,0.733154,-0.00128947,0.001,0,0,0,0,0,3,elastic,true,true,true,0.8,
Demo 26,1,0,0,0.718964,-0.0661491,0.0511591,0,0,0,0,0,3,elastic,true,true,true,0.8,
